[]
"['U72200KA2000PTC027196', 'TAYANA MOBILITY TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2023PTC169999', 'REGPAY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2017PTC108095', 'DESTINY LOGIC PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC126591', 'THINKAHOY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2007PTC041630', 'DRAK SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC141096', 'FUNKER ACKER TECHNOLOGY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC130948', 'DRCODE TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC117027', 'SUMADHVA SOFTWARE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC149522', 'COMMERCE BULL PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA1996PTC020523', 'ADSTOCK BUSINESS NETWORK INTERNATIONAL PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC123345', 'SKYPATH SOFTWARE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC131468', 'G-NET TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2016PTC098007', 'FILMFREAK INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72502KA2021PTC155336', 'MOONLIB TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2020PTC137270', 'AVCONNECT GLOBAL TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC120390', 'MINEFLARE TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC154999', 'UFO AEROBOTICS PRIVATE LIMITED', 'Bangalore', 'Active']"
[]
"['U72200KA2022PTC157042', 'OCTAVIAN BUSINESS SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2010PTC056011', 'TUEBORA SOFTWARE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC124611', 'MUX SOFTWARE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2012PTC066559', 'AXCESS TECH SYSTEMS INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72501KA1994PTC015187', 'HERSCHEL TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC123922', 'CELEBBUZZ ONLINE SERVICES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC153583', 'ONE SUITE TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC150248', 'BROVOBITE TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC119512', 'BIZTRACE TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC119470', 'BEANSTACK SYSTEMS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC150739', 'TAZAIR INTERNATIONAL PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC145270', 'SKILLSLASH PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2015PTC084458', 'V2M TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC139062', 'AUTELIC SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC126596', 'IMMERSIVEDATACAVE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2015PTC083414', 'BODHA TECHNOLOGY SERVICES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2016PTC094975', 'THULISHA REDDY TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC136839', 'VM MICRO SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC119537', 'INTKEYZ SOFTWARE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC152083', 'HONOLY TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2015PTC085000', 'BLAS-CONNECT IT SERVICES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2004PTC033976', 'N.V.DATA SYSTEMS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC149388', 'WS SINCO TECH PRIVATE LIMITED', 'Bangalore', 'Active']"
