[]
"['U72200PN2003PTC018183', 'GATEWAY INTERNET PROTOCOL MANAGEMENT PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2020PTC189664', 'NETSPEED TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC203285', 'ROCKETAI SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2016PTC165001', 'MAKE MY BRAND STORY PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2009PTC157929', 'RTCAMP SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC208308', 'TECHEARNEST IT SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2017PTC173482', 'ELOQUENT STUDIO PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2005PTC020307', 'EQUINOX SOFTWARE AND SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72501PN2018PTC178458', 'JBK TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC207055', 'OJASAM CONSULTING & SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC208521', 'FIT FOR FULFILMENT IT CONSULTING PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC203696', 'HASH KITE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72501PN2018PTC179259', 'AICRYTONIX PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC215755', 'ODDISYS TECHMEDIA PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2012PTC142133', 'TECHENCE IT SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2018PTC177839', 'CAPTOSOFT DIGITAL SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2014PTC150732', 'COMSEC INFOSOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
[]
"['U72900PN2016PTC164021', 'NEEKAY SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2017PTC171616', 'KEY CRUZEIRO CONTROL TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC190704', 'EAGLEARK TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2018PTC174755', 'CYPERTS DIGITAL SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2012PTC141911', 'OCEAN GIGABYTES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC204291', 'AURATIVE TECH SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC194024', 'CLOUDETHIX SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC196422', 'INFOVOICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC205208', 'KRILL TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2013PTC146972', 'ALTIZON SYSTEMS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC184043', 'ATZ CART PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC217383', 'ACADEMIAN INDIA PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC191637', 'VENVY TECHNOFRESH INDIA PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2018PTC178957', 'WORLDTEAM11 FANTASY PRIVATE LIMITED', 'Pune', 'Active']"
"['U72501PN2020PTC191110', 'SELLEEZY SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC192393', 'CONTEXTAI (INDIA) PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC191125', 'DEEPARC TECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2018PTC176279', 'FOCI INNOVATIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2005PTC020748', 'RIVA LOGIC TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC186184', 'SWALOX TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2017PTC173310', 'POORNTARA INFOTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2012PTC142416', 'SENIX INFOTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72500PN2020PTC189721', 'YCI INFOTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC205403', 'LASRTER UDYOG PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC206427', 'SKUARE WEB SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2003PTC017806', 'VAKSRUJAN LINGUASOFT PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2013PTC146887', 'NUSTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2014PTC151537', 'QUESTIONPRO PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC205062', 'ANYACCESS TECHNOLOGIES INDIA PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2018PTC180805', 'CALIBIT SYSTEMS PRIVATE LIMITED', 'Pune', 'Active']"
[]
"['U72900PN2014PTC151032', 'SHARADA DATA SYSTEMS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2012PTC142974', 'VRUSHALI INFOTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2021PTC201101', 'MISARA TECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2018PTC181027', 'HASHBLU TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2008PTC131604', 'FORETHOUGHT SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN1998PTC113359', 'RAVIRAJ INSTITUTE OF SOFTWARE TECHNOLOGY PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200MH1996PTC103625', 'RAVIRAJ INSTITUTE OF COMPUTERS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2017PTC172110', 'MIZECODE TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2001PTC015902', 'ENSIGNS SOFTWARE AND COMMUNICATIONS PRIVATE LIMITED', 'Pune', 'Active']"
