[]
"['U72300WB2005PTC106844', 'RIK INFO SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245094', 'NEXTLEVEL TRADERS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC256702', 'MINION TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC257083', 'LUMISHA INDIA PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2012PTC179242', 'RITUDHARA TREXIM PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC244679', 'WILD FALCON GAMING NETWORKS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2022PTC257794', 'ONHOLD TECH SOLUTION PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC235286', 'BEEU INFOTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC238335', 'APPTACULAR TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC247805', 'JBG HEXA TECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC240187', 'SINERGICO PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC240816', 'FOONED TRADERS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245154', 'TRANSCON SALES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2015PTC207257', 'ESTAFF GLOBAL INFO SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2013PTC193959', 'JS INFOMATICS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2015PTC208892', 'BOOMERANG INFOTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC228860', 'ADOSYS CONSULTANCY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245840', 'SAAWARE SARKAR ENTERPRISES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2015PTC205077', 'STARMAX INFOTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC227297', 'INCOGSYS SOFTWARE SYSTEMS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245949', 'NEX2U ANALYTICS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2014PTC199614', 'SQUARETRIX TECHNOLOGY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC227823', 'DAKSHYANI INFO SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC241215', 'MUCREST TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72400WB2012PTC183532', 'PRISMHUB ONLINE SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB1999PTC090622', 'OCTAGON ENTERPRISES PRIVATE LIMITED', 'Kolkata', 'Active']"
[]
"['U72900WB2008PTC131555', 'PRISM COMPUTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC244958', 'TECHNINETIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72100WB2005PTC105840', 'GANGOTRI SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC227151', 'WINWINK TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245409', 'SIVONTECHNO SALES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2013PTC192687', 'INTINERI INFOSOL PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245324', 'MUSTELICA ENTERPRISES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2020PTC239013', 'SELENOVA BUSINESS SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC248995', 'BISWA GAMES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2007PTC114102', 'CITYTECH SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC246934', 'EONMART ONLINE PRIVATE LIMITED', 'Kolkata', 'Active']"
