[]
"['U72900TG2019PTC137628', 'GOOGOL TECHKNOWLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72500TG2023PTC170125', 'TRIBN SOFTWARE PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2019PTC133064', 'ROCKLINE TECH CHAMP IND PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2002PTC040168', 'VARDHAMAN VOICECALL PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC167548', 'CODECESS SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC151137', 'CISTERN TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC133247', 'CODEKINDLE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC152539', 'NO BOSS TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC164204', 'INDO WHAT IF LABS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC164408', 'TAVASYA TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC152340', 'CICET INFOTECH PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2020PTC141025', 'BETTA APPS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC140320', 'ALANINE ORG PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC145727', 'TECH REACH IT SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC149946', 'D2K SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2011PTC075787', 'CLOUD7 TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC155871', 'DATANIMBUS INDIA PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72500TG2019PTC133585', 'O3SA IT SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2014PTC094981', 'ACCENTEL SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2000PTC034058', 'I Q TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
